frame,track_id,x1,y1,x2,y2,keypoints
19,3,244,631,492,749,"[[[283.2671203613281, 674.012451171875], [281.4944763183594, 670.2426147460938], [281.67431640625, 672.1680297851562], [288.3819580078125, 666.5542602539062], [0.0, 0.0], [304.9142761230469, 673.4925537109375], [307.45477294921875, 681.0369873046875], [351.1782531738281, 671.4412231445312], [358.5887145996094, 684.4696655273438], [370.0602722167969, 662.3928833007812], [373.8835144042969, 660.6937255859375], [356.63067626953125, 707.9819946289062], [357.6650390625, 715.77294921875], [410.542724609375, 700.1649169921875], [413.8016662597656, 707.20361328125], [462.8966064453125, 719.9225463867188], [466.7342224121094, 725.6885986328125]]]"
20,1,224,622,517,863,"[[[280.5017395019531, 674.2130126953125], [279.38421630859375, 670.0785522460938], [278.33447265625, 672.2544555664062], [287.3860168457031, 666.5719604492188], [0.0, 0.0], [301.814208984375, 673.8231811523438], [302.2315673828125, 682.6401977539062], [347.7039489746094, 672.8447265625], [349.1378173828125, 688.0868530273438], [370.7686767578125, 664.7472534179688], [367.8009948730469, 664.9492797851562], [355.2879333496094, 706.9185180664062], [355.1783752441406, 715.6050415039062], [408.6241455078125, 705.5635986328125], [413.18304443359375, 713.3421020507812], [465.5093688964844, 723.8790893554688], [471.24945068359375, 730.50830078125]]]"
20,3,246,634,496,753,"[[[280.5017395019531, 674.2130126953125], [279.38421630859375, 670.0785522460938], [278.33447265625, 672.2544555664062], [287.3860168457031, 666.5719604492188], [0.0, 0.0], [301.814208984375, 673.8231811523438], [302.2315673828125, 682.6401977539062], [347.7039489746094, 672.8447265625], [349.1378173828125, 688.0868530273438], [370.7686767578125, 664.7472534179688], [367.8009948730469, 664.9492797851562], [355.2879333496094, 706.9185180664062], [355.1783752441406, 715.6050415039062], [408.6241455078125, 705.5635986328125], [413.18304443359375, 713.3421020507812], [465.5093688964844, 723.8790893554688], [471.24945068359375, 730.50830078125]]]"
21,1,221,625,517,868,"[[[280.32232666015625, 671.77099609375], [279.40155029296875, 667.4791870117188], [277.47998046875, 670.0882568359375], [287.2015075683594, 665.3287353515625], [0.0, 0.0], [305.6004333496094, 672.1056518554688], [300.5833740234375, 684.8910522460938], [357.4556579589844, 671.9760131835938], [348.9844665527344, 694.4700927734375], [374.36212158203125, 669.068359375], [368.52001953125, 672.786865234375], [366.947509765625, 698.9226684570312], [363.100830078125, 709.50146484375], [408.37054443359375, 698.8176879882812], [410.135986328125, 708.7423095703125], [464.77593994140625, 716.5091552734375], [469.10711669921875, 726.1114501953125]]]"
21,3,247,637,494,755,"[[[280.32232666015625, 671.77099609375], [279.40155029296875, 667.4791870117188], [277.47998046875, 670.0882568359375], [287.2015075683594, 665.3287353515625], [0.0, 0.0], [305.6004333496094, 672.1056518554688], [300.5833740234375, 684.8910522460938], [357.4556579589844, 671.9760131835938], [348.9844665527344, 694.4700927734375], [374.36212158203125, 669.068359375], [368.52001953125, 672.786865234375], [366.947509765625, 698.9226684570312], [363.100830078125, 709.50146484375], [408.37054443359375, 698.8176879882812], [410.135986328125, 708.7423095703125], [464.77593994140625, 716.5091552734375], [469.10711669921875, 726.1114501953125]]]"
22,1,219,628,516,873,"[[[275.0337829589844, 667.8821411132812], [276.67523193359375, 663.4696655273438], [272.8273010253906, 665.6471557617188], [289.182861328125, 663.9114379882812], [0.0, 0.0], [310.0838317871094, 675.5118408203125], [295.4884033203125, 686.434326171875], [360.22607421875, 681.970947265625], [338.7197265625, 698.6156616210938], [378.86944580078125, 685.1493530273438], [349.9248352050781, 679.35400390625], [368.18353271484375, 697.8873291015625], [358.604736328125, 707.55029296875], [411.94903564453125, 698.0863647460938], [412.0890197753906, 707.1214599609375], [469.55584716796875, 717.2982177734375], [475.0019226074219, 725.0693969726562]]]"
22,3,248,640,494,757,"[[[275.0337829589844, 667.8821411132812], [276.67523193359375, 663.4696655273438], [272.8273010253906, 665.6471557617188], [289.182861328125, 663.9114379882812], [0.0, 0.0], [310.0838317871094, 675.5118408203125], [295.4884033203125, 686.434326171875], [360.22607421875, 681.970947265625], [338.7197265625, 698.6156616210938], [378.86944580078125, 685.1493530273438], [349.9248352050781, 679.35400390625], [368.18353271484375, 697.8873291015625], [358.604736328125, 707.55029296875], [411.94903564453125, 698.0863647460938], [412.0890197753906, 707.1214599609375], [469.55584716796875, 717.2982177734375], [475.0019226074219, 725.0693969726562]]]"
23,1,216,631,516,878,"[[[275.6003112792969, 669.7623901367188], [276.82720947265625, 664.576171875], [272.5771179199219, 667.32568359375], [287.7257385253906, 663.0635986328125], [0.0, 0.0], [304.8464050292969, 671.1014404296875], [292.4330139160156, 686.7216796875], [349.4835510253906, 674.4049682617188], [321.34625244140625, 701.7200317382812], [354.3460998535156, 672.7351684570312], [332.7768859863281, 683.6197509765625], [364.96148681640625, 694.9791259765625], [356.73468017578125, 707.0604248046875], [414.02069091796875, 698.6182861328125], [414.6533508300781, 710.0935668945312], [471.44989013671875, 714.6316528320312], [475.4432373046875, 725.6104736328125]]]"
23,3,249,641,491,757,"[[[275.6003112792969, 669.7623901367188], [276.82720947265625, 664.576171875], [272.5771179199219, 667.32568359375], [287.7257385253906, 663.0635986328125], [0.0, 0.0], [304.8464050292969, 671.1014404296875], [292.4330139160156, 686.7216796875], [349.4835510253906, 674.4049682617188], [321.34625244140625, 701.7200317382812], [354.3460998535156, 672.7351684570312], [332.7768859863281, 683.6197509765625], [364.96148681640625, 694.9791259765625], [356.73468017578125, 707.0604248046875], [414.02069091796875, 698.6182861328125], [414.6533508300781, 710.0935668945312], [471.44989013671875, 714.6316528320312], [475.4432373046875, 725.6104736328125]]]"
24,1,214,634,516,883,"[[[270.958251953125, 677.016845703125], [273.101806640625, 672.9154052734375], [269.5518493652344, 674.6220703125], [285.1585693359375, 671.0316772460938], [0.0, 0.0], [295.0584411621094, 678.8167114257812], [293.25128173828125, 685.3638916015625], [322.94476318359375, 686.803466796875], [339.1954345703125, 697.5457763671875], [342.6980895996094, 683.75927734375], [355.5941467285156, 681.6399536132812], [348.01275634765625, 698.337890625], [344.5626220703125, 706.4537353515625], [409.8568115234375, 706.16845703125], [413.2098693847656, 713.4806518554688], [465.6734924316406, 720.3411254882812], [469.4273681640625, 725.2559204101562]]]"
