frame,track_id,x1,y1,x2,y2,keypoints
10,1,775,310,936,439,"[[[880.8485107421875, 336.9162902832031], [0.0, 0.0], [878.9617919921875, 334.0836486816406], [0.0, 0.0], [872.8400268554688, 336.39190673828125], [849.8058471679688, 345.6610107421875], [868.3035278320312, 346.7588806152344], [859.9168701171875, 366.9111022949219], [898.6138916015625, 365.34637451171875], [899.6591186523438, 369.01043701171875], [938.7222900390625, 360.544921875], [822.990966796875, 380.790771484375], [837.7777099609375, 383.1049499511719], [856.4671630859375, 389.1330261230469], [896.65087890625, 391.6816101074219], [824.44775390625, 413.186279296875], [889.3355102539062, 420.61431884765625]]]"
10,2,842,131,945,233,"[[[884.97265625, 148.62889099121094], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [900.3231811523438, 151.84671020507812], [885.699462890625, 151.61082458496094], [886.1068115234375, 164.9150848388672], [862.5383911132812, 162.9610595703125], [868.4483642578125, 176.67630004882812], [851.3828735351562, 179.05612182617188], [929.3728637695312, 177.61244201660156], [917.4815673828125, 177.81190490722656], [903.03857421875, 187.07693481445312], [886.4998779296875, 186.33612060546875], [925.4819946289062, 214.9683074951172], [903.6636962890625, 212.2831268310547]]]"
10,4,-18,308,173,451,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [59.37831497192383, 328.17254638671875], [43.67717742919922, 347.6560363769531], [57.61444854736328, 347.0328063964844], [65.755859375, 367.2501220703125], [89.1082992553711, 370.2044677734375], [106.33419799804688, 372.3315734863281], [121.86273193359375, 372.9351501464844], [51.14793395996094, 393.7417297363281], [58.79874801635742, 396.8278503417969], [122.61843872070312, 397.1593322753906], [126.65093231201172, 399.8925476074219], [131.16184997558594, 432.0709228515625], [133.3985595703125, 435.4925231933594]]]"
11,1,765,312,924,439,"[[[878.9436645507812, 147.09799194335938], [0.0, 0.0], [0.0, 0.0], [884.10888671875, 144.26927185058594], [0.0, 0.0], [891.1470336914062, 151.44325256347656], [879.6016845703125, 149.82546997070312], [887.6829833984375, 164.28260803222656], [853.0961303710938, 160.7567596435547], [874.5263671875, 171.028076171875], [839.4758911132812, 176.88124084472656], [909.4771118164062, 179.07179260253906], [902.48486328125, 178.14144897460938], [883.9979858398438, 184.54486083984375], [880.5064697265625, 182.7637481689453], [905.4385375976562, 213.337890625], [906.2740478515625, 209.93002319335938]]]"
11,2,829,130,934,234,"[[[878.9436645507812, 147.09799194335938], [0.0, 0.0], [0.0, 0.0], [884.10888671875, 144.26927185058594], [0.0, 0.0], [891.1470336914062, 151.44325256347656], [879.6016845703125, 149.82546997070312], [887.6829833984375, 164.28260803222656], [853.0961303710938, 160.7567596435547], [874.5263671875, 171.028076171875], [839.4758911132812, 176.88124084472656], [909.4771118164062, 179.07179260253906], [902.48486328125, 178.14144897460938], [883.9979858398438, 184.54486083984375], [880.5064697265625, 182.7637481689453], [905.4385375976562, 213.337890625], [906.2740478515625, 209.93002319335938]]]"
11,4,-22,309,168,451,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [471.5744934082031, 148.3363037109375], [448.283203125, 148.44578552246094], [461.96868896484375, 153.24276733398438], [452.6428527832031, 148.56385803222656], [467.43365478515625, 155.38833618164062], [473.7552185058594, 143.99758911132812], [479.15966796875, 148.79171752929688], [434.7337951660156, 177.76295471191406], [445.5813293457031, 180.63279724121094], [458.8995361328125, 190.68101501464844], [484.2303466796875, 192.64175415039062], [458.03369140625, 203.62318420410156], [499.29718017578125, 207.9176788330078]]]"
12,1,755,315,912,440,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [869.2429809570312, 143.13592529296875], [0.0, 0.0], [869.3030395507812, 151.602783203125], [884.07470703125, 148.2815399169922], [848.8027954101562, 165.72076416015625], [879.4544677734375, 159.4848175048828], [831.2457275390625, 177.06756591796875], [863.5014038085938, 173.9271240234375], [893.1935424804688, 182.37159729003906], [901.4364013671875, 180.60214233398438], [870.9260864257812, 183.72940063476562], [875.9182739257812, 181.39141845703125], [898.0450439453125, 211.85122680664062], [899.1624145507812, 207.54867553710938]]]"
12,2,817,129,923,234,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [869.2429809570312, 143.13592529296875], [0.0, 0.0], [869.3030395507812, 151.602783203125], [884.07470703125, 148.2815399169922], [848.8027954101562, 165.72076416015625], [879.4544677734375, 159.4848175048828], [831.2457275390625, 177.06756591796875], [863.5014038085938, 173.9271240234375], [893.1935424804688, 182.37159729003906], [901.4364013671875, 180.60214233398438], [870.9260864257812, 183.72940063476562], [875.9182739257812, 181.39141845703125], [898.0450439453125, 211.85122680664062], [899.1624145507812, 207.54867553710938]]]"
12,4,-27,309,162,450,"[[[61.004783630371094, 328.649658203125], [0.0, 0.0], [56.479408264160156, 324.7574157714844], [0.0, 0.0], [42.147560119628906, 326.75933837890625], [60.46697998046875, 344.53900146484375], [23.48210906982422, 347.5211181640625], [90.6134033203125, 360.23223876953125], [38.93622589111328, 372.88372802734375], [104.58040618896484, 365.6847229003906], [88.75096130371094, 369.4998779296875], [54.48398971557617, 398.2200927734375], [27.936908721923828, 403.38702392578125], [113.65478515625, 394.22174072265625], [88.08564758300781, 401.13885498046875], [101.91610717773438, 437.182373046875], [85.38215637207031, 446.91619873046875]]]"
13,1,745,317,900,441,"[[[855.3740844726562, 146.10687255859375], [857.4564208984375, 143.5133056640625], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [879.724853515625, 151.9484405517578], [849.8604125976562, 152.20623779296875], [891.5328369140625, 164.33795166015625], [827.8892822265625, 165.560546875], [883.0437622070312, 169.53744506835938], [817.3143920898438, 183.98086547851562], [893.1325073242188, 180.88204956054688], [873.4844360351562, 180.5880889892578], [875.9011840820312, 186.0360107421875], [851.0206298828125, 184.7647247314453], [894.0139770507812, 215.76849365234375], [869.55517578125, 212.88523864746094]]]"
