frame,track_id,x1,y1,x2,y2,keypoints
24,1,217,651,424,807,"[[[192.11614990234375, 693.854248046875], [0.0, 0.0], [0.0, 0.0], [191.86349487304688, 696.2838134765625], [201.16525268554688, 695.6619873046875], [212.65077209472656, 717.619873046875], [230.6070556640625, 712.2388916015625], [258.4200134277344, 720.0689086914062], [306.31011962890625, 708.8161010742188], [295.8701477050781, 695.3190307617188], [328.8258361816406, 699.0030517578125], [301.36614990234375, 736.4259643554688], [313.90283203125, 740.6166381835938], [356.5748291015625, 729.5390625], [361.0885009765625, 720.3384399414062], [441.2149658203125, 728.6924438476562], [450.8720703125, 720.7542724609375]]]"
25,1,216,651,424,796,"[[[189.3303680419922, 699.8033447265625], [0.0, 0.0], [0.0, 0.0], [189.9127197265625, 702.0372314453125], [200.60516357421875, 695.4505004882812], [211.1502685546875, 722.4947509765625], [227.77175903320312, 698.1448364257812], [247.60098266601562, 732.6730346679688], [294.5459289550781, 677.2725830078125], [283.6796875, 703.80712890625], [305.7734680175781, 662.5458984375], [293.2759704589844, 746.5604858398438], [304.68115234375, 742.1050415039062], [352.66827392578125, 728.5467529296875], [357.6326599121094, 707.0038452148438], [433.07745361328125, 743.0530395507812], [444.9478454589844, 724.5039672851562]]]"
26,1,208,643,434,795,"[[[190.3768768310547, 699.4871826171875], [186.2937774658203, 695.5121459960938], [0.0, 0.0], [186.38047790527344, 697.6177368164062], [0.0, 0.0], [212.5216064453125, 709.1114501953125], [227.7625732421875, 718.8922119140625], [265.9079284667969, 722.1763916015625], [284.81927490234375, 734.54052734375], [296.8957824707031, 712.7647094726562], [309.9844055175781, 731.225830078125], [306.14959716796875, 730.3023071289062], [314.243408203125, 742.63916015625], [366.64300537109375, 715.5703735351562], [372.4994812011719, 725.1162719726562], [438.844482421875, 712.259521484375], [444.6725769042969, 724.0704956054688]]]"
27,1,196,640,441,799,"[[[189.28900146484375, 702.80029296875], [186.60195922851562, 700.7119750976562], [0.0, 0.0], [189.57643127441406, 704.7265625], [0.0, 0.0], [218.7935333251953, 725.2528076171875], [230.5084228515625, 713.1242065429688], [261.31390380859375, 753.6917724609375], [286.718994140625, 714.2131958007812], [296.5562744140625, 761.8413696289062], [301.4260559082031, 705.3157348632812], [317.942138671875, 739.0479736328125], [326.89520263671875, 740.876953125], [375.4309387207031, 728.737548828125], [382.0205078125, 718.1590576171875], [449.96795654296875, 722.4896850585938], [462.1955871582031, 708.95703125]]]"
28,1,182,644,456,819,"[[[194.67474365234375, 701.7320556640625], [194.89266967773438, 694.5584106445312], [188.41708374023438, 702.5367431640625], [207.62228393554688, 694.5087890625], [188.9151611328125, 711.9207763671875], [247.0634765625, 701.4595947265625], [223.1495361328125, 735.4868774414062], [352.7987060546875, 708.5335083007812], [282.94049072265625, 772.6162719726562], [436.4715576171875, 716.9503784179688], [332.65045166015625, 774.6234130859375], [340.398681640625, 729.8233642578125], [321.5389099121094, 754.4940185546875], [391.88641357421875, 733.12744140625], [357.3227844238281, 771.7039794921875], [453.3421630859375, 719.3939819335938], [410.1970520019531, 761.4937744140625]]]"
29,1,188,655,452,818,"[[[195.3976593017578, 706.2486572265625], [192.61029052734375, 697.232177734375], [187.76126098632812, 706.7901000976562], [201.69447326660156, 694.3177490234375], [186.77980041503906, 716.1018676757812], [237.5250244140625, 708.247802734375], [223.1842803955078, 739.787353515625], [299.8397216796875, 738.1944580078125], [282.27911376953125, 781.5895385742188], [316.59649658203125, 783.4066772460938], [319.30230712890625, 793.5542602539062], [324.89471435546875, 732.64892578125], [309.5925598144531, 755.0238037109375], [388.14764404296875, 720.918701171875], [350.2861633300781, 754.072509765625], [446.9092102050781, 721.2831420898438], [395.3746643066406, 759.7201538085938]]]"
30,1,179,653,460,824,"[[[198.04568481445312, 697.4345092773438], [196.9728546142578, 688.9843139648438], [189.15525817871094, 701.4959716796875], [207.77993774414062, 688.778564453125], [189.0630645751953, 717.6763916015625], [238.33935546875, 692.595703125], [224.16592407226562, 747.900390625], [270.0388488769531, 676.3229370117188], [270.207275390625, 789.5103149414062], [268.0931396484375, 667.8056640625], [322.4170227050781, 793.5467529296875], [337.0126953125, 726.7008056640625], [320.6112060546875, 759.6791381835938], [390.4121398925781, 747.877197265625], [361.99261474609375, 795.7156982421875], [452.31317138671875, 734.4740600585938], [413.69683837890625, 786.8582153320312]]]"
31,1,171,651,468,830,"[[[193.95472717285156, 702.0593872070312], [192.28309631347656, 694.23095703125], [187.67147827148438, 705.1114501953125], [200.46261596679688, 694.4683227539062], [190.2290496826172, 719.2249755859375], [230.0333251953125, 699.699951171875], [221.22930908203125, 748.2244873046875], [263.1380615234375, 688.6812133789062], [263.9737854003906, 790.6387329101562], [263.1080627441406, 672.6946411132812], [314.7515869140625, 799.7312622070312], [331.8038024902344, 734.2444458007812], [320.3734436035156, 764.873046875], [386.7079772949219, 749.6327514648438], [366.93804931640625, 793.2677612304688], [452.9747314453125, 735.40673828125], [427.2596435546875, 784.3875122070312]]]"
32,1,163,646,476,834,"[[[191.71226501464844, 703.642578125], [190.09205627441406, 697.5597534179688], [187.42160034179688, 705.3804931640625], [197.11422729492188, 699.6683349609375], [192.48611450195312, 717.7200927734375], [228.02615356445312, 708.3524169921875], [219.58673095703125, 745.762939453125], [259.7019958496094, 705.0335083007812], [261.05670166015625, 789.9534301757812], [265.6858215332031, 686.6497802734375], [303.34228515625, 809.7904663085938], [331.2298583984375, 739.1785278320312], [324.18914794921875, 763.5324096679688], [384.16790771484375, 767.2594604492188], [380.6891174316406, 789.4833374023438], [456.89642333984375, 747.623046875], [461.49212646484375, 765.2405395507812]]]"
33,1,155,643,483,839,"[[[195.4676971435547, 700.7535400390625], [194.4539794921875, 693.09130859375], [188.22891235351562, 704.4132080078125], [202.75289916992188, 694.7191772460938], [188.29928588867188, 720.5228881835938], [230.13430786132812, 699.0737915039062], [220.474365234375, 754.2072143554688], [264.2177429199219, 679.6985473632812], [263.74566650390625, 800.7593383789062], [257.2138977050781, 659.1832885742188], [314.4862060546875, 811.3204956054688], [334.060546875, 732.0697631835938], [321.9325866699219, 765.6583862304688], [381.7305908203125, 749.8631591796875], [362.7591552734375, 798.4842529296875], [455.18603515625, 729.1585083007812], [431.1060791015625, 781.6412353515625]]]"
34,1,149,637,488,841,"[[[195.21420288085938, 700.7776489257812], [193.30438232421875, 695.9479370117188], [190.1100311279297, 703.0499877929688], [197.446533203125, 700.0759887695312], [191.8846435546875, 717.1409912109375], [220.23074340820312, 705.6792602539062], [215.32266235351562, 753.4954833984375], [250.61526489257812, 697.3622436523438], [259.9596862792969, 802.7938842773438], [252.12734985351562, 672.7147827148438], [293.20404052734375, 826.9888916015625], [329.6458435058594, 734.4036254882812], [323.8866271972656, 765.9973754882812], [387.1741638183594, 754.4192504882812], [373.8731689453125, 791.7835693359375], [450.49267578125, 727.1246337890625], [445.4615478515625, 765.707275390625]]]"
35,1,146,635,492,844,"[[[193.106689453125, 702.44482421875], [191.98538208007812, 697.4287109375], [189.415283203125, 703.9320678710938], [197.92333984375, 703.0086669921875], [194.89279174804688, 717.75244140625], [223.52658081054688, 716.0296020507812], [221.07058715820312, 746.543701171875], [250.30136108398438, 720.93408203125], [260.2388000488281, 793.8811645507812], [255.62435913085938, 693.4603881835938], [286.914306640625, 819.5382080078125], [324.6297607421875, 742.1357421875], [321.87152099609375, 763.91259765625], [385.0416259765625, 762.915771484375], [385.2425231933594, 780.9747314453125], [461.146728515625, 745.2489013671875], [470.9456787109375, 761.6917724609375]]]"
36,1,147,633,493,842,"[[[195.06216430664062, 700.7421264648438], [194.18063354492188, 695.087158203125], [190.18353271484375, 703.416015625], [201.08445739746094, 700.2134399414062], [194.0885467529297, 719.6172485351562], [226.42269897460938, 707.6140747070312], [220.8153533935547, 754.8162841796875], [249.70687866210938, 686.9453125], [257.339111328125, 807.0567016601562], [243.54595947265625, 643.8592529296875], [287.9913024902344, 828.6976318359375], [331.2943115234375, 740.1925659179688], [325.7537841796875, 768.744384765625], [384.82574462890625, 760.1572875976562], [384.0504150390625, 788.9558715820312], [459.51422119140625, 741.2406005859375], [469.869873046875, 768.2176513671875]]]"
37,1,148,631,492,839,"[[[195.31532287597656, 701.885009765625], [195.41622924804688, 695.424560546875], [187.980712890625, 704.8978271484375], [204.4931640625, 700.3986206054688], [187.92971801757812, 722.7675170898438], [227.8692626953125, 706.4241333007812], [221.29759216308594, 761.873779296875], [254.69180297851562, 679.94580078125], [265.3550720214844, 814.4331665039062], [247.41781616210938, 643.44677734375], [285.0274353027344, 827.1016235351562], [335.0611572265625, 737.9314575195312], [328.2255554199219, 769.8731689453125], [383.7734680175781, 756.1416015625], [382.59991455078125, 790.800537109375], [457.2600402832031, 734.1753540039062], [469.7204895019531, 766.5697021484375]]]"
38,1,149,631,490,837,"[[[191.2242431640625, 703.623779296875], [190.94998168945312, 700.0433349609375], [185.59153747558594, 704.0390625], [198.23696899414062, 709.1398315429688], [188.76698303222656, 717.5095825195312], [221.71363830566406, 723.8197631835938], [225.13427734375, 735.8331909179688], [254.86773681640625, 704.3474731445312], [268.7962341308594, 726.2176513671875], [253.63543701171875, 645.9088745117188], [252.29296875, 684.2294921875], [325.12579345703125, 749.3804931640625], [325.33306884765625, 761.6034545898438], [385.2878112792969, 772.9192504882812], [383.583740234375, 774.418701171875], [463.44732666015625, 753.5552368164062], [469.2794189453125, 749.8327026367188]]]"
